                                     username,date_time,message
dnsadnadnd241,2025-01-17 00:40:22,sdffds
dnsadnadnd241,2025-01-17 00:40:30,приве т
dnsadnadnd241,2025-01-17 00:40:31,/ask
dnsadnadnd241,2025-01-17 01:02:30,/start
dnn241,2025-01-17 01:02:47,/start
dnsadnadnd241,2025-01-17 18:23:01,приве
dnsadnadnd241,2025-01-17 18:23:01,/ask
dnsadnadnd241,2025-01-17 18:23:01,/ask
dnsadnadnd241,2025-01-17 18:23:01,/start
dnsadnadnd241,2025-01-17 18:23:01,gfd
dnsadnadnd241,2025-01-17 18:23:07,/ask
dnsadnadnd241,2025-01-17 18:23:10,/cancel
dnsadnadnd241,2025-01-17 18:23:13,/cancel
dnsadnadnd241,2025-01-17 18:23:17,dfsfsdf
dnsadnadnd241,2025-01-17 18:23:21,@dnsadnadnd241
dnsadnadnd241,2025-01-17 18:23:22,/ask
dnsadnadnd241,2025-01-17 18:23:26,привет
dnsadnadnd241,2025-01-17 18:24:09,/ask
dnsadnadnd241,2025-01-17 18:24:12,приветэ
dnsadnadnd241,2025-01-17 18:25:17,/ask
dnsadnadnd241,2025-01-17 18:25:19,привет
dnsadnadnd241,2025-01-17 18:25:24,Хорошо
dnsadnadnd241,2025-01-17 18:25:39,привет
dnsadnadnd241,2025-01-17 18:25:42,/ask
dnsadnadnd241,2025-01-17 18:25:47,Как дела у тебя?
dnsadnadnd241,2025-01-17 18:25:56,у меня хорошо
dnsadnadnd241,2025-01-17 18:26:24,/ask
dnsadnadnd241,2025-01-17 18:26:26,привет
dnsadnadnd241,2025-01-17 18:26:33,"Хорошо, а утебя"
dnsadnadnd241,2025-01-17 18:27:47,/ask
dnsadnadnd241,2025-01-17 18:27:50,Привет
dnsadnadnd241,2025-01-17 18:27:56,Как дела
dnsadnadnd241,2025-01-17 18:28:01,хорошо
dnsadnadnd241,2025-01-17 18:28:18,Кто такой бил гейтз?
dnsadnadnd241,2025-01-17 18:28:28,А что за компания у него?
dnsadnadnd241,2025-01-17 18:39:09,/ask
dnsadnadnd241,2025-01-17 18:39:10,привет
dnsadnadnd241,2025-01-17 18:39:16,у меня норм у тебя
dnsadnadnd241,2025-01-17 18:39:25,фильм ъочу глянуть
dnsadnadnd241,2025-01-17 18:39:39,хорорр
dnsadnadnd241,2025-01-17 18:39:42,неа
dnsadnadnd241,2025-01-17 18:43:21,/ask
dnsadnadnd241,2025-01-17 18:43:23,привет
dnsadnadnd241,2025-01-17 18:44:48,/ask
dnsadnadnd241,2025-01-17 18:44:51,privet
dnsadnadnd241,2025-01-17 18:45:41,/ask
dnsadnadnd241,2025-01-17 18:45:42,save
dnsadnadnd241,2025-01-17 18:46:19,/ask
dnsadnadnd241,2025-01-17 18:46:21,привет
dnsadnadnd241,2025-01-17 18:46:23,как ты брат
dnsadnadnd241,2025-01-17 18:46:36,брат брат
dnsadnadnd241,2025-01-17 18:46:50,брат братишка
dnsadnadnd241,2025-01-17 18:46:57,хуйня все
dnsadnadnd241,2025-01-17 18:47:10,0
dnsadnadnd241,2025-01-17 19:09:54,.фыл
